mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
0	1	-3	3/4	3/4	0	2	firstMeasure					1
1	2	-3	3/4	3/4	0	2						2
2	3	-3	3/4	3/4	0	2						3
3	4	-3	3/4	3/4	0	2						4
4	5	-3	3/4	3/4	0	3						5
5	6	-3	3/4	3/4	0	2						6
6	7	-3	3/4	3/4	0	4						7
7	8	-3	3/4	3/4	0	2						8
8	9	-3	3/4	3/4	0	3						9
9	10	-3	3/4	3/4	0	2						10
10	11	-3	3/4	3/4	0	3						11
11	12	-3	3/4	3/4	0	2						12
12	13	-3	3/4	3/4	0	3						13
13	14	-3	3/4	3/4	0	3						14
14	15	-3	3/4	3/4	0	2						15
15	16	-3	3/4	3/4	0	4						16
16	17	-3	3/4	3/4	0	3						17
17	18	-3	3/4	3/4	0	2						18
18	19	-3	3/4	3/4	0	2						19
19	20	-3	3/4	3/4	0	3						20
20	21	-3	3/4	3/4	0	2						21
21	22	-3	3/4	3/4	0	3						22
22	23	-3	3/4	3/4	0	3						23
23	24	-3	3/4	3/4	0	3						24
24	25	-3	3/4	3/4	0	4						25
25	26	-3	3/4	3/4	0	3						26
26	27	-3	3/4	3/4	0	3						27
27	28	-3	3/4	3/4	0	3						28
28	29	-3	3/4	3/4	0	2						29
29	30	-3	3/4	3/4	0	2						30
30	31	-3	3/4	3/4	0	2	endRepeat					31
31	32	-3	3/4	3/4	0	2						32
32	33	-3	3/4	3/4	0	2						33
33	34	-3	3/4	3/4	0	2						34
34	35	-3	3/4	3/4	0	3						35
35	36	-3	3/4	3/4	0	2						36
36	37	-3	3/4	3/4	0	3						37
37	38	-3	3/4	3/4	0	3						38
38	39	-3	3/4	3/4	0	3						39
39	40	-3	3/4	3/4	0	2						40
40	41	-3	3/4	3/4	0	3						41
41	42	-3	3/4	3/4	0	4						42
42	43	-3	3/4	3/4	0	2						43
43	44	-3	3/4	3/4	0	3						44
44	45	-3	3/4	3/4	0	3						45
45	46	-3	3/4	3/4	0	3						46
46	47	-3	3/4	3/4	0	3						47
47	48	-3	3/4	3/4	0	3						48
48	49	-3	3/4	3/4	0	2						49
49	50	-3	3/4	3/4	0	3						50
50	51	-3	3/4	3/4	0	3						51
51	52	-3	3/4	3/4	0	3						52
52	53	-3	3/4	3/4	0	2						53
53	54	-3	3/4	3/4	0	2						54
54	55	-3	3/4	3/4	0	3						55
55	56	-3	3/4	3/4	0	4						56
56	57	-3	3/4	3/4	0	4						57
57	58	-3	3/4	3/4	0	3						58
58	59	-3	3/4	3/4	0	3						59
59	60	-3	3/4	3/4	0	2						60
60	61	-3	3/4	3/4	0	3						61
61	62	-3	3/4	3/4	0	3						62
62	63	-3	3/4	3/4	0	3						63
63	64	-3	3/4	3/4	0	2						64
64	65	-3	3/4	3/4	0	3						65
65	66	-3	3/4	3/4	0	4						66
66	67	-3	3/4	3/4	0	3						67
67	68	-3	3/4	3/4	0	2						68
68	69	-3	3/4	3/4	0	3						69
69	70	-3	3/4	3/4	0	3						70
70	71	-3	3/4	3/4	0	2						71
71	72	-3	3/4	3/4	0	3						72
72	73	-3	3/4	3/4	0	3						73
73	74	-3	3/4	3/4	0	3						74
74	75	-3	3/4	3/4	0	4						75
75	76	-3	3/4	3/4	0	3						76
76	77	-3	3/4	3/4	0	3						77
77	78	-3	3/4	3/4	0	4						78
78	79	-3	3/4	3/4	0	2						79
79	80	-3	3/4	3/4	0	2						80, 81
80	81	-3	3/4	3/4	0	2	endRepeat	1				0
81	81	-3	3/4	3/4	0	2		2			1.0	82
82	82	-3	3/4	3/4	0	2	lastMeasure		end			
