mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-1	3/4	3/4	0	2	firstMeasure					2
2	2	-1	3/4	3/4	0	2						3
3	3	-1	3/4	3/4	0	2						4
4	4	-1	3/4	3/4	0	2						5
5	5	-1	3/4	3/4	0	2						6
6	6	-1	3/4	3/4	0	2						7
7	7	-1	3/4	3/4	0	3						8
8	8	-1	3/4	3/4	0	4						9
9	9	-1	3/4	3/4	0	3						10
10	10	-1	3/4	3/4	0	3						11
11	11	-1	3/4	3/4	0	2						12
12	12	-1	3/4	3/4	0	2						13
13	13	-1	3/4	3/4	0	2						14
14	14	-1	3/4	3/4	0	2						15
15	15	-1	3/4	3/4	0	2						16
16	16	-1	3/4	3/4	0	2						17
17	17	-1	3/4	3/4	0	2						18
18	18	-1	3/4	3/4	0	2						19
19	19	-1	3/4	3/4	0	2						20
20	20	-1	3/4	3/4	0	2						21
21	21	-1	3/4	3/4	0	2						22
22	22	-1	3/4	3/4	0	2						23
23	23	-1	3/4	3/4	0	2						24
24	24	-1	3/4	3/4	0	2						25
25	25	-1	3/4	3/4	0	2						26
26	26	-1	3/4	3/4	0	2						27
27	27	-1	3/4	3/4	0	2						28
28	28	-1	3/4	3/4	0	2						29
29	29	-1	3/4	3/4	0	2						30
30	30	-1	3/4	3/4	0	2						31
31	31	-1	3/4	3/4	0	2						32
32	32	-1	3/4	3/4	0	2						33
33	33	-1	3/4	3/4	0	2						34
34	34	-1	3/4	3/4	0	2						35
35	35	-1	3/4	3/4	0	2						36
36	36	-1	3/4	3/4	0	2						37
37	37	-1	3/4	3/4	0	2						38
38	38	-1	3/4	3/4	0	2						39
39	39	-1	3/4	3/4	0	2						40
40	40	-1	3/4	3/4	0	2						41
41	41	-1	3/4	3/4	0	2						42
42	42	-1	3/4	3/4	0	2						43
43	43	-1	3/4	3/4	0	3						44
44	44	-1	3/4	3/4	0	2						45
45	45	-1	3/4	3/4	0	2						46
46	46	-1	3/4	3/4	0	2						47
47	47	-1	3/4	3/4	0	2						48
48	48	-1	3/4	3/4	0	2						49
49	49	-1	3/4	3/4	0	2						50
50	50	-1	3/4	3/4	0	2						51
51	51	-1	3/4	3/4	0	3						52
52	52	-1	3/4	3/4	0	3						53
53	53	-1	3/4	3/4	0	2						54
54	54	-1	3/4	3/4	0	2						55
55	55	-1	3/4	3/4	0	2						56
56	56	-1	3/4	3/4	0	2						57
57	57	-1	3/4	3/4	0	2						58
58	58	-1	3/4	3/4	0	2						59
59	59	-1	3/4	3/4	0	2						60
60	60	-1	3/4	3/4	0	2						61
61	61	-1	3/4	3/4	0	2						62
62	62	-1	3/4	3/4	0	2						63
63	63	-1	3/4	3/4	0	2						64
64	64	-1	3/4	3/4	0	2						65
65	65	-1	3/4	3/4	0	2						66
66	66	-1	3/4	3/4	0	2						67
67	67	-1	3/4	3/4	0	2						68
68	68	-1	3/4	3/4	0	2						69
69	69	-1	3/4	3/4	0	2						70
70	70	-1	3/4	3/4	0	2						71
71	71	-1	3/4	3/4	0	2						72
72	72	-1	3/4	3/4	0	3						73
73	73	-1	3/4	3/4	0	2						74
74	74	-1	3/4	3/4	0	2						75
75	75	-1	3/4	3/4	0	2						76
76	76	-1	3/4	3/4	0	2						77
77	77	-1	3/4	3/4	0	2						78
78	78	-1	3/4	3/4	0	3						79
79	79	-1	3/4	3/4	0	2						80
80	80	-1	3/4	3/4	0	2						81
81	81	-1	3/4	3/4	0	2						82
82	82	-1	3/4	3/4	0	2						83
83	83	-1	3/4	3/4	0	2						84
84	84	-1	3/4	3/4	0	2						85
85	85	-1	3/4	3/4	0	2						86
86	86	-1	3/4	3/4	0	2						87
87	87	-1	3/4	3/4	0	2						88
88	88	-1	3/4	3/4	0	2						89
89	89	-1	3/4	3/4	0	2						90
90	90	-1	3/4	3/4	0	2						91
91	91	-1	3/4	3/4	0	2						92
92	92	-1	3/4	3/4	0	2						93
93	93	-1	3/4	3/4	0	2	endRepeat					94, 1
94	94	-1	3/4	3/4	0	3	startRepeat					95
95	95	-1	3/4	3/4	0	3						96
96	96	-1	3/4	3/4	0	3						97
97	97	-1	3/4	3/4	0	3						98
98	98	-1	3/4	3/4	0	2						99
99	99	-1	3/4	3/4	0	2						100
100	100	-1	3/4	3/4	0	2						101
101	101	-1	3/4	3/4	0	2						102
102	102	-1	3/4	3/4	0	2						103
103	103	-1	3/4	3/4	0	2						104
104	104	-1	3/4	3/4	0	3						105
105	105	-1	3/4	3/4	0	2						106
106	106	-1	3/4	3/4	0	2						107
107	107	-1	3/4	3/4	0	2						108
