mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
0	1	0	4/4	1	0	3	firstMeasure					1
1	2	0	4/4	1	0	3.0						2
2	3	0	4/4	1	0	3.0						3
3	4	0	4/4	1	0	3.0						4
4	5	0	4/4	1	0	2.0						5
5	6	0	4/4	1	0	2.0						6
6	7	0	4/4	1	0	2.0						7
7	8	0	4/4	1	0	2.0						8
8	9	0	4/4	1	0	2.0						9
9	10	0	4/4	1	0	2.0						10
10	11	0	4/4	1	0	2.0						11
11	12	0	4/4	1	0	2.0						12
12	13	0	4/4	1	0	2.0						13, 14
13	14	0	4/4	1	0	2.0	endRepeat	1				0
14	14	0	4/4	1	0	2.0		2			1.0	15
15	15	0	4/4	1	0	2.0	startRepeat					16
16	16	0	4/4	1	0	3.0						17
17	17	0	4/4	1	0	3.0						18
18	18	0	4/4	1	0	3.0						19
19	19	0	4/4	1	0	3.0						20
20	20	0	4/4	1	0	2.0						21
21	21	0	4/4	1	0	3.0						22
22	22	0	4/4	1	0	3.0						23
23	23	0	4/4	1	0	3.0						24
24	24	0	4/4	1	0	3.0						25
25	25	0	4/4	1	0	3.0						26
26	26	0	4/4	1	0	3.0						27
27	27	0	4/4	1	0	3.0						28
28	28	0	4/4	1	0	2.0						29
29	29	0	4/4	1	0	2.0						30
30	30	0	4/4	1	0	3.0						31
31	31	0	4/4	1	0	2.0						32
32	32	0	4/4	1	0	2.0						33
33	33	0	4/4	1	0	2.0						34
34	34	0	4/4	1	0	2.0						35
35	35	0	4/4	1	0	2.0						36
36	36	0	4/4	1	0	2.0						37, 38
37	37	0	4/4	1	0	2.0	endRepeat	1				15
38	37	0	4/4	1	0	2.0		2			1.0	39
39	38	0	4/4	1	0	3.0						40
40	39	0	4/4	1	0	4	lastMeasure		end			
