mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		2	62	1	1	
1	1	0	1/4		1/4	1		6	66	1	1	
1	1	0	1/4		1/4	1		3	69	1	1	
1	1	0	1/4		1/4	1		2	74	1	1	
1	1	0	1/4		1/4	1		2	50	2	1	
1	1	0	1/4		1/4	1		2	38	2	1	
1	1	1/2	0	grace32	1/32	1		1	67	1	1	
1	1	1/2	1/8		1/8	1		6	66	1	1	
1	1	1/2	1/8		1/8	1		6	54	2	1	
1	1	1/2	0	grace32	1/32	1		1	55	2	1	
1	1	5/8	1/16		1/16	1		4	64	1	1	
1	1	5/8	1/16		1/16	1		4	52	2	1	
1	1	11/16	1/16		1/16	1		2	50	2	1	
1	1	11/16	1/16		1/16	1		2	62	1	1	
1	1	3/4	1/8		1/8	1		6	54	2	1	
1	1	3/4	1/8		1/8	1		6	66	1	1	
1	1	3/4	0	grace32	1/32	1		1	55	2	1	
1	1	3/4	0	grace32	1/32	1		1	67	1	1	
1	1	7/8	1/16		1/16	1		4	64	1	1	
1	1	7/8	1/16		1/16	1		4	52	2	1	
1	1	15/16	1/16		1/16	1		2	62	1	1	
1	1	15/16	1/16		1/16	1		2	50	2	1	
2	2	0	1/4		1/4	1		3	69	1	1	
2	2	0	1/4		1/4	1		3	57	2	1	
2	2	1/4	1/4		1/4	1		6	66	1	1	
2	2	1/4	1/4		1/4	1		6	54	2	1	
2	2	1/2	1/4		1/4	1		5	71	1	1	
2	2	1/2	1/4		1/4	1		5	59	2	1	
2	2	7/8	1/8		1/8	1		6	66	1	1	
2	2	7/8	1/8		1/8	1		6	54	2	1	
3	3	0	1/8		1/8	1		1	67	1	1	
3	3	0	1/8		1/8	1		1	55	2	1	
3	3	1/8	1/8		1/8	1		4	64	1	1	
3	3	1/8	1/8		1/8	1		4	52	2	1	
3	3	1/4	1/8		1/8	1		3	69	1	1	
3	3	1/4	1/8		1/8	1		3	57	2	1	
3	3	3/8	1/8		1/8	1		6	66	1	1	
3	3	3/8	1/8		1/8	1		6	54	2	1	
3	3	1/2	1/8		1/8	1		2	62	1	1	
3	3	1/2	1/8		1/8	1		2	50	2	1	
3	3	5/8	1/8		1/8	1		5	59	1	1	
3	3	5/8	1/8		1/8	1		5	47	2	1	
3	3	3/4	1/8		1/8	1		4	64	1	1	
3	3	3/4	1/8		1/8	1		4	52	2	1	
3	3	7/8	1/8		1/8	1		7	61	1	1	
3	3	7/8	1/8		1/8	1		7	49	2	1	
4	4	0	1/4		1/4	1		3	57	1	1	
4	4	0	1/8		1/8	1		3	45	2	1	
4	4	1/8	1/8		1/8	1		3	57	2	1	
4	4	1/4	1/8		1/8	1		3	45	2	1	
4	4	3/8	1/8		1/8	1		3	57	2	1	
4	4	1/2	1/8		1/8	1		3	45	2	1	
4	4	5/8	1/8		1/8	1		6	66	1	1	
4	4	5/8	1/8		1/8	1		2	74	1	1	
4	4	5/8	1/8		1/8	1		3	57	2	1	
4	4	3/4	1/8		1/8	1		6	66	1	1	
4	4	3/4	1/8		1/8	1		2	74	1	1	
4	4	3/4	1/8		1/8	1		3	45	2	1	
4	4	7/8	1/8		1/8	1		6	66	1	1	
4	4	7/8	1/8		1/8	1		2	74	1	1	
4	4	7/8	1/8		1/8	1		3	57	2	1	
5	5	0	1/8		1/8	1		6	66	1	1	
5	5	0	1/8		1/8	1		2	74	1	1	
5	5	0	1/8		1/8	1		3	45	2	1	
5	5	1/8	1/8		1/8	1		4	64	1	1	
5	5	1/8	1/8		1/8	1		7	73	1	1	
5	5	1/8	1/8		1/8	1		3	57	2	1	
5	5	1/4	1/4		1/4	1		4	64	1	1	
5	5	1/4	1/4		1/4	1		7	73	1	1	
5	5	1/4	1/8		1/8	1		3	45	2	1	
5	5	3/8	1/8		1/8	1		3	57	2	1	
5	5	1/2	1/8		1/8	1		3	45	2	1	
5	5	5/8	1/8		1/8	1		2	74	1	1	
5	5	5/8	1/8		1/8	1		6	78	1	1	
5	5	5/8	1/8		1/8	1		3	57	2	1	
5	5	3/4	1/8		1/8	1		6	78	1	1	
5	5	3/4	1/8		1/8	1		3	45	2	1	
5	5	3/4	1/8		1/8	1		2	74	1	1	
5	5	7/8	1/8		1/8	1		2	74	1	1	
5	5	7/8	1/8		1/8	1		6	78	1	1	
5	5	7/8	1/8		1/8	1		3	57	2	1	
6	6	0	1/8		1/8	1		2	74	1	1	
6	6	0	1/8		1/8	1		6	78	1	1	
6	6	0	1/8		1/8	1		3	45	2	1	
6	6	1/8	1/8		1/8	1		7	73	1	1	
6	6	1/8	1/8		1/8	1		4	76	1	1	
6	6	1/8	1/8		1/8	1		3	57	2	1	
6	6	1/4	1/4		1/4	1		7	73	1	1	
6	6	1/4	1/4		1/4	1		4	76	1	1	
6	6	1/4	1/8		1/8	1		3	45	2	1	
6	6	3/8	1/8		1/8	1		3	57	2	1	
6	6	1/2	1/8		1/8	1		3	45	2	1	
6	6	5/8	1/8		1/8	1		6	78	1	1	
6	6	5/8	1/8		1/8	1		3	81	1	1	
6	6	5/8	1/8		1/8	1		3	57	2	1	
6	6	3/4	1/8		1/8	1		3	81	1	1	
6	6	3/4	1/8		1/8	1		3	45	2	1	
6	6	3/4	1/8		1/8	1		6	78	1	1	
6	6	7/8	1/8		1/8	1		6	78	1	1	
6	6	7/8	1/8		1/8	1		3	81	1	1	
6	6	7/8	1/8		1/8	1		3	57	2	1	
7	7	0	1/16		1/16	1		1	79	1	1	
7	7	0	1/4		1/4	1		3	45	2	1	
7	7	1/16	1/16		1/16	1		6	78	1	1	
7	7	1/8	1/16		1/16	1		1	79	1	1	
7	7	3/16	1/16		1/16	1		3	81	1	1	
7	7	1/4	1/16		1/16	1		5	83	1	1	
7	7	5/16	1/16		1/16	1		3	81	1	1	
7	7	3/8	1/16		1/16	1		1	79	1	1	
7	7	7/16	1/16		1/16	1		6	78	1	1	
7	7	1/2	1/16		1/16	1		4	76	1	1	
7	7	9/16	1/16		1/16	1		9	75	1	1	
7	7	5/8	1/16		1/16	1		4	76	1	1	
7	7	11/16	1/16		1/16	1		6	78	1	1	
7	7	3/4	1/16		1/16	1		1	79	1	1	
7	7	13/16	1/16		1/16	1		6	78	1	1	
7	7	7/8	1/16		1/16	1		4	76	1	1	
7	7	15/16	1/16		1/16	1		2	74	1	1	
8	8	0	1/16		1/16	1		7	73	1	1	
8	8	0	1/16		1/16	1		7	61	2	1	
8	8	1/16	1/16		1/16	1		5	59	2	1	
8	8	1/16	1/16		1/16	1		5	71	1	1	
8	8	1/8	1/16		1/16	1		7	61	2	1	
8	8	1/8	1/16		1/16	1		7	73	1	1	
8	8	3/16	1/16		1/16	1		2	74	1	1	
8	8	3/16	1/16		1/16	1		2	62	2	1	
8	8	1/4	1/16		1/16	1		4	76	1	1	
8	8	1/4	1/16		1/16	1		4	64	2	1	
8	8	5/16	1/16		1/16	1		2	74	1	1	
8	8	5/16	1/16		1/16	1		2	62	2	1	
8	8	3/8	1/16		1/16	1		7	73	1	1	
8	8	3/8	1/16		1/16	1		7	61	2	1	
8	8	7/16	1/16		1/16	1		5	71	1	1	
8	8	7/16	1/16		1/16	1		5	59	2	1	
8	8	1/2	1/16		1/16	1		3	57	2	1	
8	8	1/2	1/16		1/16	1		3	69	1	1	
8	8	9/16	1/16		1/16	1		8	56	2	1	
8	8	9/16	1/16		1/16	1		8	68	1	1	
8	8	5/8	1/16		1/16	1		3	69	1	1	
8	8	5/8	1/16		1/16	1		3	57	2	1	
8	8	11/16	1/16		1/16	1		5	59	2	1	
8	8	11/16	1/16		1/16	1		5	71	1	1	
8	8	3/4	1/16		1/16	1		3	57	2	1	
8	8	3/4	1/16		1/16	1		3	69	1	1	
8	8	13/16	1/16		1/16	1		1	55	2	1	
8	8	13/16	1/16		1/16	1		1	67	1	1	
8	8	7/8	1/16		1/16	1		6	54	2	1	
8	8	7/8	1/16		1/16	1		6	66	1	1	
8	8	15/16	1/16		1/16	1		4	64	1	1	
8	8	15/16	1/16		1/16	1		4	52	2	1	
9	9	0	1/2		1/2	1		2	62	1	1	
9	9	0	1/2		1/2	1		2	62	1	2	
9	9	0	1/8		1/8	1		2	50	2	1	
9	9	1/8	1/8		1/8	1		2	50	2	1	
9	9	1/4	1/8		1/8	1		2	50	2	1	
9	9	3/8	1/8		1/8	1		2	50	2	1	
9	9	1/2	1/4		1/4	1		4	64	1	1	
