mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		1	67	1	1	
1	1	0	1/4		1/4	1		5	71	1	1	
1	1	0	1/8		1/8	1		1	43	2	1	
1	1	1/8	1/8		1/8	1		1	55	2	1	
1	1	1/4	1/8		1/8	1		3	69	1	1	
1	1	1/4	1/8		1/8	1		0	72	1	1	
1	1	1/4	1/8		1/8	1		1	55	2	1	
2	2	0	1/8		1/8	1		5	71	1	1	
2	2	0	1/8		1/8	1		2	74	1	1	
2	2	0	1/8		1/8	1		1	55	2	1	
2	2	1/8	1/8		1/8	1		1	55	2	1	
2	2	1/4	1/8		1/8	1		5	71	1	1	
2	2	1/4	1/8		1/8	1		2	74	1	1	
2	2	1/4	1/8		1/8	1		1	55	2	1	
3	3	0	1/4		1/4	1		4	76	1	1	
3	3	0	1/4		1/4	1		1	79	1	1	
3	3	0	1/8		1/8	1		1	55	2	1	
3	3	1/8	1/8		1/8	1		1	55	2	1	
3	3	1/4	1/8		1/8	1		2	74	1	1	
3	3	1/4	1/8		1/8	1		6	78	1	1	
3	3	1/4	1/8		1/8	1		1	55	2	1	
4	4	0	0	grace16	1/16	1		6	78	1	1	
4	4	0	1/4		1/4	1		0	72	1	1	
4	4	0	1/4		1/4	1		4	76	1	1	
4	4	0	1/8		1/8	1		1	55	2	1	
4	4	1/8	1/8		1/8	1		1	55	2	1	
4	4	1/4	1/8		1/8	1		5	71	1	1	
4	4	1/4	1/8		1/8	1		2	74	1	1	
4	4	1/4	1/8		1/8	1		1	55	2	1	
5	5	0	1/4		1/4	1		1	67	1	1	
5	5	0	1/4		1/4	1		5	71	1	1	
5	5	0	1/8		1/8	1		1	43	2	1	
5	5	1/8	1/8		1/8	1		1	55	2	1	
5	5	1/4	1/8		1/8	1		3	69	1	1	
5	5	1/4	1/8		1/8	1		0	72	1	1	
5	5	1/4	1/8		1/8	1		1	55	2	1	
6	6	0	1/8		1/8	1		5	71	1	1	
6	6	0	1/8		1/8	1		2	74	1	1	
6	6	0	1/8		1/8	1		1	55	2	1	
6	6	1/8	1/8		1/8	1		1	55	2	1	
6	6	1/4	1/8		1/8	1		5	71	1	1	
6	6	1/4	1/8		1/8	1		2	74	1	1	
6	6	1/4	1/8		1/8	1		1	55	2	1	
7	7	0	1/4		1/4	1		0	72	1	1	
7	7	0	1/4		1/4	1		4	76	1	1	
7	7	0	1/8		1/8	1		1	55	2	1	
7	7	1/8	1/8		1/8	1		1	55	2	1	
7	7	1/4	1/8		1/8	1		5	71	1	1	
7	7	1/4	1/8		1/8	1		2	74	1	1	
7	7	1/4	1/8		1/8	1		1	55	2	1	
8	8	0	0	grace16	1/16	1		2	74	1	1	
8	8	0	1/4		1/4	1		3	69	1	1	
8	8	0	1/4		1/4	1		0	72	1	1	
8	8	0	1/8		1/8	1		1	55	2	1	
8	8	1/8	1/8		1/8	1		1	55	2	1	
8	8	1/4	1/8		1/8	1		1	67	1	1	
8	8	1/4	1/8		1/8	1		5	71	1	1	
8	8	1/4	1/8		1/8	1		1	55	2	1	
9	9	0	1/16		1/16	1		2	62	1	1	
9	9	0	3/8		1/4	3/2		5	35	2	1	
9	9	0	3/8		1/4	3/2		5	47	2	1	
9	9	1/16	1/16		1/16	1		1	67	1	1	
9	9	1/8	1/16		1/16	1		6	66	1	1	
9	9	3/16	1/16		1/16	1		1	67	1	1	
9	9	1/4	1/16		1/16	1		5	71	1	1	
9	9	5/16	1/16		1/16	1		1	67	1	1	
10	10	0	1/16		1/16	1		4	64	1	1	
10	10	0	3/8		1/4	3/2		0	36	2	1	
10	10	0	3/8		1/4	3/2		0	48	2	1	
10	10	1/16	1/16		1/16	1		3	69	1	1	
10	10	1/8	1/16		1/16	1		8	68	1	1	
10	10	3/16	1/16		1/16	1		3	69	1	1	
10	10	1/4	1/16		1/16	1		0	72	1	1	
10	10	5/16	1/16		1/16	1		3	69	1	1	
11	11	0	1/16		1/16	1		6	66	1	1	
11	11	0	3/8		1/4	3/2		2	38	2	1	
11	11	0	3/8		1/4	3/2		2	50	2	1	
11	11	1/16	1/16		1/16	1		5	71	1	1	
11	11	1/8	1/16		1/16	1		10	70	1	1	
11	11	3/16	1/16		1/16	1		5	71	1	1	
11	11	1/4	1/16		1/16	1		2	74	1	1	
11	11	5/16	1/16		1/16	1		5	71	1	1	
12	12	0	1/16		1/16	1		1	67	1	1	
12	12	0	3/8		1/4	3/2		4	40	2	1	
12	12	0	3/8		1/4	3/2		4	52	2	1	
12	12	1/16	1/16		1/16	1		0	72	1	1	
12	12	1/8	1/16		1/16	1		5	71	1	1	
12	12	3/16	1/16		1/16	1		0	72	1	1	
12	12	1/4	1/16		1/16	1		4	76	1	1	
12	12	5/16	1/16		1/16	1		0	72	1	1	
13	13	0	1/8		1/8	1		2	74	1	1	
13	13	0	1/16		1/16	1		6	54	2	1	
13	13	1/16	1/16		1/16	1		2	62	2	1	
13	13	1/8	1/16		1/16	1		7	61	2	1	
13	13	3/16	1/16		1/16	1		2	62	2	1	
13	13	1/4	1/8		1/8	1		3	81	1	1	
13	13	1/4	1/8		1/8	1		0	84	1	1	
13	13	1/4	1/16		1/16	1		6	54	2	1	
13	13	5/16	1/16		1/16	1		2	62	2	1	
14	14	0	1/8		1/8	1		1	79	1	1	
14	14	0	1/8		1/8	1		5	83	1	1	
14	14	0	1/16		1/16	1		1	55	2	1	
14	14	1/16	1/16		1/16	1		2	62	2	1	
14	14	1/8	1/16		1/16	1		7	61	2	1	
14	14	3/16	1/16		1/16	1		2	62	2	1	
14	14	1/4	1/8		1/8	1		5	71	1	1	
14	14	1/4	1/8		1/8	1		2	74	1	1	
14	14	1/4	1/16		1/16	1		1	55	2	1	
14	14	5/16	1/16		1/16	1		2	62	2	1	
15	15	0	1/8		1/8	1		3	69	1	1	
15	15	0	1/8		1/8	1		0	72	1	1	
15	15	0	1/16		1/16	1		3	57	2	1	
15	15	1/16	1/16		1/16	1		2	62	2	1	
15	15	1/8	1/16		1/16	1		7	61	2	1	
15	15	3/16	1/16		1/16	1		2	62	2	1	
15	15	1/4	1/8		1/8	1		0	72	1	1	
15	15	1/4	1/8		1/8	1		6	78	1	1	
15	15	1/4	1/16		1/16	1		3	57	2	1	
