mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
0	1	0	1/4		1/4	1		0	60	2	2	
0	1	0	1/16		1/16	1		4	64	2	1	
0	1	0	1/8		1/8	1		0	72	1	1	
0	1	1/16	1/16		1/16	1		1	67	2	1	
0	1	1/8	1/16		1/16	1		4	64	2	1	
0	1	1/8	1/8		1/8	1		0	72	1	1	
0	1	3/16	1/16		1/16	1		1	67	2	1	
0	1	1/4	1/16		1/16	1		4	64	2	1	
0	1	1/4	1/8		1/8	1		0	72	1	1	
0	1	5/16	1/16		1/16	1		1	67	2	1	
0	1	3/8	1/16		1/16	1		4	64	2	1	
0	1	3/8	1/8		1/8	1		0	72	1	1	
0	1	7/16	1/16		1/16	1		1	67	2	1	
0	1	1/2	1/4		1/4	1		2	62	2	2	
0	1	1/2	1/16		1/16	1		-1	65	2	1	
0	1	1/2	1/8		1/8	1		5	71	1	1	
0	1	9/16	1/16		1/16	1		1	67	2	1	
0	1	5/8	1/16		1/16	1		-1	65	2	1	
0	1	5/8	1/8		1/8	1		-1	77	1	1	
0	1	11/16	1/16		1/16	1		1	67	2	1	
0	1	3/4	1/8		1/8	1		5	59	2	2	
0	1	3/4	1/16		1/16	1		2	62	2	1	
0	1	3/4	1/4		1/4	1		-1	77	1	1	
0	1	13/16	1/16		1/16	1		1	67	2	1	
0	1	7/8	1/8		1/8	1		1	55	2	2	
0	1	7/8	1/16		1/16	1		5	59	2	1	
0	1	15/16	1/16		1/16	1		1	67	2	1	
1	2	0	1/16		1/16	1		0	60	2	2	
1	2	0	1/4		1/4	1		4	76	1	1	
1	2	1/16	1/16		1/16	1		1	67	2	2	
1	2	1/8	1/16		1/16	1		5	59	2	2	
1	2	3/16	1/16		1/16	1		1	67	2	2	
1	2	1/4	1/16		1/16	1		3	57	2	1	
1	2	1/4	1/8		1/8	1		-1	77	1	1	
1	2	1/4	0	grace16	1/16	1		1	79	1	1	
1	2	5/16	1/16		1/16	1		0	60	2	1	
1	2	3/8	1/16		1/16	1		-1	53	2	1	
1	2	3/8	1/16		1/16	1		4	76	1	1	
1	2	7/16	1/16		1/16	1		-1	65	2	1	
1	2	7/16	1/16		1/16	1		2	74	1	1	
1	2	1/2	3/8		1/4	3/2		1	55	2	2	
1	2	1/2	1/16		1/16	1		4	64	2	1	
1	2	1/2	1/16		1/16	1		0	72	1	1	
1	2	9/16	1/16		1/16	1		2	62	2	1	
1	2	9/16	1/16		1/16	1		5	71	1	1	
1	2	5/8	1/16		1/16	1		0	60	2	1	
1	2	5/8	1/16		1/16	1		3	69	1	1	
1	2	11/16	1/16		1/16	1		5	59	2	1	
1	2	11/16	1/16		1/16	1		1	67	1	1	
1	2	3/4	1/16		1/16	1		0	60	2	1	
1	2	3/4	1/16		1/16	1		3	69	1	1	
1	2	13/16	1/16		1/16	1		5	59	2	1	
1	2	13/16	1/16		1/16	1		1	67	1	1	
1	2	7/8	1/8		1/8	1		-1	53	2	2	
1	2	7/8	1/16		1/16	1		0	60	2	1	
1	2	7/8	1/16		1/16	1		3	69	1	1	
1	2	15/16	1/16		1/16	1		2	62	2	1	
1	2	15/16	1/16		1/16	1		5	71	1	1	
2	3	0	1/4		1/4	1		4	52	2	2	
2	3	0	1/16		1/16	1		1	55	2	1	
2	3	0	1/8		1/8	1		0	72	1	1	
2	3	1/16	1/16		1/16	1		0	60	2	1	
2	3	1/8	1/16		1/16	1		1	55	2	1	
2	3	1/8	1/8		1/8	1		0	72	1	1	
2	3	3/16	1/16		1/16	1		0	60	2	1	
2	3	1/4	1/8		1/8	1		2	50	2	2	
2	3	1/4	1/16		1/16	1		-1	53	2	1	
2	3	1/4	1/8		1/8	1		0	72	1	1	
2	3	5/16	1/16		1/16	1		0	60	2	1	
2	3	3/8	1/8		1/8	1		0	48	2	2	
2	3	3/8	1/16		1/16	1		4	52	2	1	
2	3	3/8	1/8		1/8	1		0	72	1	1	
2	3	7/16	1/16		1/16	1		0	60	2	1	
2	3	1/2	1/4		1/4	1		2	50	2	2	
2	3	1/2	1/16		1/16	1		-1	53	2	1	
2	3	1/2	1/8		1/8	1		5	71	1	1	
2	3	9/16	1/16		1/16	1		1	55	2	1	
2	3	5/8	1/16		1/16	1		-1	53	2	1	
2	3	5/8	1/8		1/8	1		-1	77	1	1	
2	3	11/16	1/16		1/16	1		1	55	2	1	
2	3	3/4	1/8		1/8	1		5	47	2	2	
2	3	3/4	1/16		1/16	1		2	50	2	1	
2	3	3/4	1/4		1/4	1		-1	77	1	1	
2	3	13/16	1/16		1/16	1		1	55	2	1	
2	3	7/8	1/8		1/8	1		1	43	2	2	
2	3	7/8	1/16		1/16	1		5	47	2	1	
2	3	15/16	1/16		1/16	1		1	55	2	1	
3	4	0	1/16		1/16	1		0	48	2	2	
3	4	0	1/8		1/8	1		4	76	1	1	
3	4	0	0	grace16	1/16	1		-1	77	1	1	
3	4	1/16	1/16		1/16	1		1	55	2	2	
3	4	1/8	1/8		1/8	1		-1	53	2	2	
3	4	1/8	1/16		1/16	1		3	57	2	1	
3	4	1/8	1/16		1/16	1		-1	77	1	1	
3	4	3/16	1/16		1/16	1		-1	65	2	1	
3	4	3/16	1/16		1/16	1		2	74	1	1	
3	4	1/4	1/8		1/8	1		1	55	2	2	
3	4	1/4	1/8		1/8	1		4	64	2	1	
3	4	1/4	1/8		1/8	1		0	72	1	1	
3	4	3/8	1/8		1/8	1		1	55	2	2	
3	4	3/8	1/8		1/8	1		2	62	2	1	
3	4	3/8	1/8		1/8	1		-1	65	1	1	
3	4	3/8	1/8		1/8	1		5	71	1	1	
3	4	1/2	1/8		1/8	1		0	60	2	2	
3	4	1/2	1/4		1/4	1		2	62	1	1	
3	4	1/2	1/4		1/4	1		-1	65	1	1	
3	4	1/2	1/4		1/4	1		5	71	1	1	
3	4	5/8	1/8		1/8	1		1	55	2	2	
3	4	3/4	1/8		1/8	1		0	48	2	2	
3	4	3/4	1/8		1/8	1		4	64	1	1	
3	4	3/4	1/8		1/8	1		1	67	1	1	
3	4	3/4	1/8		1/8	1		0	72	1	1	
4	5	0	1/16		1/16	1		0	60	2	1	
4	5	0	1/4		1/4	1		4	76	1	1	
4	5	1/16	1/16		1/16	1		1	67	2	1	
4	5	1/8	1/16		1/16	1		4	64	2	1	
